NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		44	0.35213235	2.7984781	0.0	6.453424E-5	0.001	8194	tags=68%, list=33%, signal=102%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		75	0.27092785	2.789189	0.0	6.1728395E-5	0.001	10830	tags=71%, list=44%, signal=125%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		86	0.2569747	2.785671	0.0	5.915638E-5	0.001	7493	tags=56%, list=30%, signal=80%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		57	0.3054388	2.7139254	0.0	1.1576449E-4	0.002	9849	tags=70%, list=40%, signal=116%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		88	0.245044	2.7129488	0.0	1.11312E-4	0.002	10575	tags=67%, list=43%, signal=116%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		52	0.32482123	2.701539	0.0	1.07189335E-4	0.002	8179	tags=65%, list=33%, signal=97%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		50	0.32160738	2.6954746	0.0	1.0336115E-4	0.002	11884	tags=80%, list=48%, signal=153%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		54	0.30834278	2.6551976	0.0	2.6189792E-4	0.005	10284	tags=72%, list=41%, signal=123%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		84	0.24434085	2.6548815	0.0	2.5316796E-4	0.005	9316	tags=62%, list=38%, signal=99%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY		261	0.14193897	2.6504683	0.0	2.9725023E-4	0.006	13815	tags=70%, list=56%, signal=156%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		70	0.26900914	2.6102402	0.0	3.393005E-4	0.007	9293	tags=64%, list=37%, signal=102%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		70	0.2618374	2.6092477	0.0	3.2901863E-4	0.007	6635	tags=53%, list=27%, signal=72%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		112	0.2078111	2.600974	0.0	3.193416E-4	0.007	7493	tags=51%, list=30%, signal=73%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		83	0.233181	2.5886574	0.0	3.1021758E-4	0.007	8880	tags=59%, list=36%, signal=92%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		173	0.16758968	2.5775073	0.0	3.016004E-4	0.007	5622	tags=39%, list=23%, signal=50%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		74	0.25839788	2.5565443	0.0	3.7214794E-4	0.009	5677	tags=49%, list=23%, signal=63%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		30	0.38757068	2.4966602	0.0	3.623546E-4	0.009	12724	tags=90%, list=51%, signal=185%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY		51	0.29067507	2.4879491	0.0	3.5306343E-4	0.009	12261	tags=78%, list=49%, signal=155%	
KEGG_GLIOMA	KEGG_GLIOMA		64	0.25991324	2.4761908	0.0	4.233752E-4	0.011	12950	tags=78%, list=52%, signal=163%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		44	0.30361825	2.465412	0.0	4.13049E-4	0.011	15598	tags=93%, list=63%, signal=251%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		98	0.2089739	2.4549897	0.0	5.15753E-4	0.014	7493	tags=51%, list=30%, signal=73%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		130	0.18493018	2.4307973	0.0	6.478116E-4	0.018	6504	tags=45%, list=26%, signal=60%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS		108	0.19398116	2.3886664	0.0	9.155709E-4	0.026	16112	tags=84%, list=65%, signal=239%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		62	0.25827304	2.3648171	0.0	0.001071263	0.031	12815	tags=77%, list=52%, signal=160%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		156	0.15773539	2.2627292	0.0	0.0022858453	0.065	15990	tags=80%, list=64%, signal=224%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		47	0.2745293	2.2419732	0.0	0.0026984306	0.079	9037	tags=64%, list=36%, signal=100%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		31	0.33942762	2.2322938	0.0	0.0027966	0.083	15598	tags=97%, list=63%, signal=260%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		78	0.21369077	2.1841824	0.0	0.0036887368	0.111	7119	tags=50%, list=29%, signal=70%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		98	0.18704785	2.181013	0.0	0.0036795535	0.113	8288	tags=52%, list=33%, signal=78%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		42	0.2839378	2.1612155	0.0058139535	0.0043805186	0.134	8325	tags=62%, list=34%, signal=93%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS		85	0.20054007	2.1473837	0.0	0.0046283402	0.144	14013	tags=76%, list=56%, signal=175%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		81	0.2048697	2.1152594	0.0042283298	0.005584178	0.174	9635	tags=59%, list=39%, signal=97%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		121	0.15294294	2.0279093	0.007889546	0.008912775	0.268	16112	tags=80%, list=65%, signal=228%	
KEGG_PEROXISOME	KEGG_PEROXISOME		77	0.18915522	1.9724225	0.006012024	0.012802434	0.364	19164	tags=96%, list=77%, signal=421%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		54	0.22237484	1.9269904	0.009541985	0.016760815	0.458	14250	tags=80%, list=57%, signal=187%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		33	0.28489769	1.9150304	0.007633588	0.017730886	0.488	13991	tags=85%, list=56%, signal=194%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		136	0.13958132	1.9014244	0.014583333	0.018682184	0.517	6406	tags=40%, list=26%, signal=53%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		29	0.29490054	1.8863895	0.008298756	0.020044185	0.54	14079	tags=86%, list=57%, signal=199%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		31	0.28505665	1.8822157	0.001934236	0.020110456	0.546	11343	tags=74%, list=46%, signal=137%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		39	0.25675493	1.8751723	0.007858546	0.020663755	0.563	14632	tags=85%, list=59%, signal=206%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		44	0.24306236	1.8700874	0.011952192	0.02090381	0.575	15970	tags=89%, list=64%, signal=248%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		114	0.14464307	1.7992246	0.010438413	0.029485825	0.694	8179	tags=47%, list=33%, signal=70%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS		26	0.29392105	1.7852074	0.018292682	0.031369112	0.719	15616	tags=92%, list=63%, signal=249%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		53	0.20377922	1.7813425	0.018556701	0.03159874	0.727	11338	tags=66%, list=46%, signal=121%	
KEGG_MELANOMA	KEGG_MELANOMA		71	0.17622627	1.7080023	0.027310925	0.04650172	0.848	5773	tags=41%, list=23%, signal=53%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		76	0.16612868	1.6883988	0.034552846	0.05079533	0.872	11233	tags=62%, list=45%, signal=113%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		50	0.20138122	1.6882261	0.024844721	0.05006872	0.872	10395	tags=62%, list=42%, signal=106%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		128	0.120373026	1.6236154	0.03937008	0.06656744	0.942	13891	tags=68%, list=56%, signal=154%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR		44	0.20520253	1.6162	0.03137255	0.06782539	0.949	11269	tags=66%, list=45%, signal=121%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		51	0.18561761	1.5963062	0.04	0.07277033	0.957	8538	tags=53%, list=34%, signal=81%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		48	0.19548604	1.5900836	0.047524754	0.0738968	0.96	17384	tags=90%, list=70%, signal=299%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		33	0.23115283	1.5765929	0.050880626	0.07717025	0.966	13819	tags=79%, list=56%, signal=178%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		36	0.21867011	1.5745773	0.042307694	0.076875605	0.967	16635	tags=89%, list=67%, signal=269%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		75	0.15239945	1.5698166	0.051172707	0.0773971	0.968	10123	tags=56%, list=41%, signal=94%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		66	0.16340418	1.5437324	0.06352459	0.08695004	0.983	7233	tags=45%, list=29%, signal=64%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		26	0.25177845	1.4828099	0.07280514	0.11150981	0.992	2347	tags=35%, list=9%, signal=38%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		116	0.117956206	1.4781194	0.08634538	0.11231291	0.993	18688	tags=87%, list=75%, signal=351%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		40	0.19196607	1.4665661	0.0625	0.11721446	0.995	15092	tags=80%, list=61%, signal=204%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		40	0.19257165	1.4489634	0.08365019	0.1256639	0.996	17558	tags=90%, list=71%, signal=307%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA		53	0.16580711	1.4202391	0.10358566	0.13949454	0.999	20236	tags=98%, list=82%, signal=531%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		54	0.16402312	1.403074	0.109161794	0.14876473	0.999	16154	tags=81%, list=65%, signal=233%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.18021525	1.3821409	0.10569106	0.15942788	1.0	19164	tags=95%, list=77%, signal=418%	
KEGG_LYSOSOME	KEGG_LYSOSOME		119	0.10911677	1.3756552	0.10569106	0.1615575	1.0	18779	tags=87%, list=76%, signal=354%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES		31	0.20445381	1.3603561	0.10169491	0.17022362	1.0	7738	tags=52%, list=31%, signal=75%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		37	0.19048856	1.3578717	0.11969112	0.16973388	1.0	11373	tags=65%, list=46%, signal=120%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		96	0.117974654	1.3574058	0.11332008	0.1681559	1.0	15174	tags=73%, list=61%, signal=187%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		67	0.14092934	1.3535036	0.12929294	0.16864851	1.0	17619	tags=85%, list=71%, signal=293%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION		28	0.21941909	1.3523787	0.13203883	0.16744813	1.0	14941	tags=82%, list=60%, signal=206%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		42	0.17328812	1.3162014	0.13414635	0.19150482	1.0	3977	tags=33%, list=16%, signal=40%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		32	0.19179815	1.2689174	0.19387755	0.22652137	1.0	18506	tags=94%, list=75%, signal=368%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		66	0.12975785	1.2513722	0.19193858	0.2389016	1.0	18591	tags=88%, list=75%, signal=350%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		164	0.07879871	1.1877764	0.23694779	0.29562384	1.0	20749	tags=91%, list=84%, signal=555%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		44	0.15012886	1.1817945	0.24261603	0.29899862	1.0	16580	tags=82%, list=67%, signal=246%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		262	0.06096267	1.1399223	0.28656125	0.34370774	1.0	3616	tags=21%, list=15%, signal=24%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		52	0.13037594	1.1241643	0.27984345	0.35843113	1.0	16810	tags=81%, list=68%, signal=250%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		38	0.15119787	1.1214842	0.2917505	0.35782427	1.0	11923	tags=63%, list=48%, signal=121%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM		29	0.17874232	1.1114099	0.30769232	0.36635488	1.0	16102	tags=83%, list=65%, signal=236%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		44	0.14046018	1.105732	0.31349206	0.36881325	1.0	14564	tags=73%, list=59%, signal=176%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		42	0.14223422	1.0956297	0.3237548	0.37667397	1.0	11244	tags=60%, list=45%, signal=109%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY		66	0.11136588	1.0667013	0.35463917	0.4092274	1.0	19422	tags=89%, list=78%, signal=411%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS		54	0.11971062	1.0524132	0.35569105	0.42317748	1.0	13116	tags=65%, list=53%, signal=137%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		66	0.11254522	1.0288782	0.40562248	0.4499798	1.0	18641	tags=86%, list=75%, signal=346%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		69	0.10548942	1.0165852	0.4288577	0.46169245	1.0	18963	tags=87%, list=76%, signal=368%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		66	0.103837885	1.0121491	0.42915812	0.46321592	1.0	20736	tags=94%, list=84%, signal=571%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		149	0.06771064	0.9589174	0.509165	0.53191733	1.0	3491	tags=21%, list=14%, signal=24%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		88	0.08616544	0.95533764	0.49056605	0.53212065	1.0	13657	tags=64%, list=55%, signal=141%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		38	0.13211009	0.9550929	0.49340865	0.52751815	1.0	17619	tags=84%, list=71%, signal=290%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		33	0.13734518	0.92320913	0.5412475	0.5684488	1.0	21406	tags=100%, list=86%, signal=728%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		47	0.11161466	0.90712035	0.5609284	0.58692056	1.0	14127	tags=68%, list=57%, signal=158%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		52	0.105544806	0.89865917	0.579798	0.59430957	1.0	18379	tags=85%, list=74%, signal=326%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		35	0.117301434	0.8388414	0.6718147	0.6766368	1.0	16232	tags=77%, list=65%, signal=223%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY		59	0.08106163	0.74275404	0.7940594	0.80697095	1.0	15654	tags=71%, list=63%, signal=192%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		26	0.11630335	0.70315886	0.825	0.8495631	1.0	11430	tags=58%, list=46%, signal=107%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		25	0.08773851	0.5144089	0.9858871	0.98640335	1.0	16680	tags=76%, list=67%, signal=232%	
