"","occurrences","kmer_count","chr","feature","group"
"45",70,4,"chr10","2A1","hsat2_A1_A2"
"46",71,13,"chr10","2A1","hsat2_A1_A2"
"47",72,2,"chr10","2A1","hsat2_A1_A2"
"48",73,4,"chr10","2A1","hsat2_A1_A2"
"49",74,11,"chr10","2A1","hsat2_A1_A2"
"50",75,6,"chr10","2A1","hsat2_A1_A2"
"51",76,4,"chr10","2A1","hsat2_A1_A2"
"52",77,2,"chr10","2A1","hsat2_A1_A2"
"53",78,2,"chr10","2A1","hsat2_A1_A2"
"54",79,2,"chr10","2A1","hsat2_A1_A2"
"55",80,4,"chr10","2A1","hsat2_A1_A2"
"56",81,1,"chr10","2A1","hsat2_A1_A2"
"57",82,3,"chr10","2A1","hsat2_A1_A2"
"58",83,12,"chr10","2A1","hsat2_A1_A2"
"59",84,1,"chr10","2A1","hsat2_A1_A2"
"60",85,2,"chr10","2A1","hsat2_A1_A2"
"61",86,3,"chr10","2A1","hsat2_A1_A2"
"62",87,16,"chr10","2A1","hsat2_A1_A2"
"63",88,3,"chr10","2A1","hsat2_A1_A2"
"64",89,3,"chr10","2A1","hsat2_A1_A2"
"65",90,1,"chr10","2A1","hsat2_A1_A2"
"66",91,10,"chr10","2A1","hsat2_A1_A2"
"67",92,1,"chr10","2A1","hsat2_A1_A2"
"68",94,5,"chr10","2A1","hsat2_A1_A2"
"69",95,2,"chr10","2A1","hsat2_A1_A2"
"70",96,1,"chr10","2A1","hsat2_A1_A2"
"71",97,1,"chr10","2A1","hsat2_A1_A2"
"72",98,2,"chr10","2A1","hsat2_A1_A2"
"73",102,4,"chr10","2A1","hsat2_A1_A2"
"74",104,6,"chr10","2A1","hsat2_A1_A2"
"75",105,1,"chr10","2A1","hsat2_A1_A2"
"76",106,1,"chr10","2A1","hsat2_A1_A2"
"77",108,2,"chr10","2A1","hsat2_A1_A2"
"78",109,1,"chr10","2A1","hsat2_A1_A2"
"79",110,2,"chr10","2A1","hsat2_A1_A2"
"80",111,2,"chr10","2A1","hsat2_A1_A2"
"81",113,5,"chr10","2A1","hsat2_A1_A2"
"82",114,1,"chr10","2A1","hsat2_A1_A2"
"83",115,1,"chr10","2A1","hsat2_A1_A2"
"84",117,2,"chr10","2A1","hsat2_A1_A2"
"85",119,3,"chr10","2A1","hsat2_A1_A2"
"86",126,2,"chr10","2A1","hsat2_A1_A2"
"87",127,1,"chr10","2A1","hsat2_A1_A2"
"88",128,1,"chr10","2A1","hsat2_A1_A2"
"89",134,2,"chr10","2A1","hsat2_A1_A2"
"90",135,1,"chr10","2A1","hsat2_A1_A2"
"91",142,1,"chr10","2A1","hsat2_A1_A2"
"92",149,1,"chr10","2A1","hsat2_A1_A2"
"93",151,1,"chr10","2A1","hsat2_A1_A2"
"94",152,6,"chr10","2A1","hsat2_A1_A2"
"95",154,1,"chr10","2A1","hsat2_A1_A2"
"96",155,2,"chr10","2A1","hsat2_A1_A2"
"97",156,1,"chr10","2A1","hsat2_A1_A2"
"98",157,3,"chr10","2A1","hsat2_A1_A2"
"99",159,1,"chr10","2A1","hsat2_A1_A2"
"100",160,1,"chr10","2A1","hsat2_A1_A2"
"101",161,1,"chr10","2A1","hsat2_A1_A2"
"102",162,2,"chr10","2A1","hsat2_A1_A2"
"103",163,4,"chr10","2A1","hsat2_A1_A2"
"104",164,8,"chr10","2A1","hsat2_A1_A2"
"105",165,6,"chr10","2A1","hsat2_A1_A2"
"106",166,7,"chr10","2A1","hsat2_A1_A2"
"107",167,3,"chr10","2A1","hsat2_A1_A2"
"108",168,2,"chr10","2A1","hsat2_A1_A2"
"109",169,2,"chr10","2A1","hsat2_A1_A2"
"110",170,3,"chr10","2A1","hsat2_A1_A2"
"111",171,3,"chr10","2A1","hsat2_A1_A2"
"112",174,1,"chr10","2A1","hsat2_A1_A2"
"113",175,1,"chr10","2A1","hsat2_A1_A2"
"114",176,2,"chr10","2A1","hsat2_A1_A2"
"115",179,1,"chr10","2A1","hsat2_A1_A2"
"116",183,1,"chr10","2A1","hsat2_A1_A2"
"117",0,1438,"chr11","2A1","hsat2_A1_A2"
"118",0,1438,"chr12","2A1","hsat2_A1_A2"
"119",0,1438,"chr13","2A1","hsat2_A1_A2"
"120",0,1438,"chr14","2A1","hsat2_A1_A2"
"121",0,1438,"chr15","2A1","hsat2_A1_A2"
"122",0,1438,"chr16","2A1","hsat2_A1_A2"
"123",0,1438,"chr17","2A1","hsat2_A1_A2"
"124",0,1438,"chr18","2A1","hsat2_A1_A2"
"125",0,1438,"chr19","2A1","hsat2_A1_A2"
"126",0,1438,"chr2","2A1","hsat2_A1_A2"
"127",0,1438,"chr20","2A1","hsat2_A1_A2"
"128",0,1438,"chr21","2A1","hsat2_A1_A2"
"129",0,1438,"chr22","2A1","hsat2_A1_A2"
"130",0,1438,"chr3","2A1","hsat2_A1_A2"
"131",0,1438,"chr4","2A1","hsat2_A1_A2"
"132",0,1438,"chr5","2A1","hsat2_A1_A2"
"133",0,1438,"chr6","2A1","hsat2_A1_A2"
"134",0,1438,"chr7","2A1","hsat2_A1_A2"
"135",0,1438,"chr8","2A1","hsat2_A1_A2"
"136",0,1438,"chr9","2A1","hsat2_A1_A2"
"137",0,1438,"chrX","2A1","hsat2_A1_A2"
"138",0,1438,"chrY","2A1","hsat2_A1_A2"
"139",0,773,"chr1","2A2","hsat2_A1_A2"
"140",0,648,"chr10","2A2","hsat2_A1_A2"
"141",1,33,"chr10","2A2","hsat2_A1_A2"
"142",2,45,"chr10","2A2","hsat2_A1_A2"
"143",3,34,"chr10","2A2","hsat2_A1_A2"
"144",5,4,"chr10","2A2","hsat2_A1_A2"
"145",6,6,"chr10","2A2","hsat2_A1_A2"
"146",17,3,"chr10","2A2","hsat2_A1_A2"
"147",0,773,"chr11","2A2","hsat2_A1_A2"
"148",0,773,"chr12","2A2","hsat2_A1_A2"
"149",0,773,"chr13","2A2","hsat2_A1_A2"
"150",0,773,"chr14","2A2","hsat2_A1_A2"
"151",0,773,"chr15","2A2","hsat2_A1_A2"
"152",0,773,"chr16","2A2","hsat2_A1_A2"
"153",0,773,"chr17","2A2","hsat2_A1_A2"
"154",0,773,"chr18","2A2","hsat2_A1_A2"
"155",0,773,"chr19","2A2","hsat2_A1_A2"
"156",0,773,"chr2","2A2","hsat2_A1_A2"
"157",0,773,"chr20","2A2","hsat2_A1_A2"
"158",0,773,"chr21","2A2","hsat2_A1_A2"
"159",0,773,"chr22","2A2","hsat2_A1_A2"
"160",0,773,"chr3","2A2","hsat2_A1_A2"
"161",0,773,"chr4","2A2","hsat2_A1_A2"
"162",0,773,"chr5","2A2","hsat2_A1_A2"
"163",0,773,"chr6","2A2","hsat2_A1_A2"
"164",0,773,"chr7","2A2","hsat2_A1_A2"
"165",0,773,"chr8","2A2","hsat2_A1_A2"
"166",0,773,"chr9","2A2","hsat2_A1_A2"
"167",0,773,"chrX","2A2","hsat2_A1_A2"
"168",0,773,"chrY","2A2","hsat2_A1_A2"
"169",0,6942,"chr1","2B","hsat2_A1_A2"
"170",0,6714,"chr10","2B","hsat2_A1_A2"
"171",1,115,"chr10","2B","hsat2_A1_A2"
"172",2,49,"chr10","2B","hsat2_A1_A2"
"173",3,16,"chr10","2B","hsat2_A1_A2"
"174",4,3,"chr10","2B","hsat2_A1_A2"
"175",5,12,"chr10","2B","hsat2_A1_A2"
"176",6,1,"chr10","2B","hsat2_A1_A2"
"177",7,1,"chr10","2B","hsat2_A1_A2"
"178",11,6,"chr10","2B","hsat2_A1_A2"
"179",12,2,"chr10","2B","hsat2_A1_A2"
"180",13,1,"chr10","2B","hsat2_A1_A2"
"181",14,4,"chr10","2B","hsat2_A1_A2"
"182",16,1,"chr10","2B","hsat2_A1_A2"
"183",17,13,"chr10","2B","hsat2_A1_A2"
"184",20,4,"chr10","2B","hsat2_A1_A2"
"185",0,6942,"chr11","2B","hsat2_A1_A2"
"186",0,6942,"chr12","2B","hsat2_A1_A2"
"187",0,6942,"chr13","2B","hsat2_A1_A2"
"188",0,6942,"chr14","2B","hsat2_A1_A2"
"189",0,6942,"chr15","2B","hsat2_A1_A2"
"190",0,6942,"chr16","2B","hsat2_A1_A2"
"191",0,6942,"chr17","2B","hsat2_A1_A2"
"192",0,6942,"chr18","2B","hsat2_A1_A2"
"193",0,6942,"chr19","2B","hsat2_A1_A2"
"194",0,6942,"chr2","2B","hsat2_A1_A2"
"195",0,6942,"chr20","2B","hsat2_A1_A2"
"196",0,6942,"chr21","2B","hsat2_A1_A2"
"197",0,6942,"chr22","2B","hsat2_A1_A2"
"198",0,6942,"chr3","2B","hsat2_A1_A2"
"199",0,6942,"chr4","2B","hsat2_A1_A2"
"200",0,6942,"chr5","2B","hsat2_A1_A2"
"201",0,6942,"chr6","2B","hsat2_A1_A2"
"202",0,6942,"chr7","2B","hsat2_A1_A2"
"203",0,6942,"chr8","2B","hsat2_A1_A2"
"204",0,6942,"chr9","2B","hsat2_A1_A2"
"205",0,6942,"chrX","2B","hsat2_A1_A2"
"206",0,6942,"chrY","2B","hsat2_A1_A2"
"207",0,446,"chr1","3A1","hsat2_A1_A2"
"208",0,446,"chr10","3A1","hsat2_A1_A2"
"209",0,446,"chr11","3A1","hsat2_A1_A2"
"210",0,446,"chr12","3A1","hsat2_A1_A2"
"211",0,446,"chr13","3A1","hsat2_A1_A2"
"212",0,446,"chr14","3A1","hsat2_A1_A2"
"213",0,446,"chr15","3A1","hsat2_A1_A2"
"214",0,446,"chr16","3A1","hsat2_A1_A2"
"215",0,446,"chr17","3A1","hsat2_A1_A2"
"216",0,446,"chr18","3A1","hsat2_A1_A2"
"217",0,446,"chr19","3A1","hsat2_A1_A2"
"218",0,446,"chr2","3A1","hsat2_A1_A2"
"219",0,446,"chr20","3A1","hsat2_A1_A2"
"220",0,446,"chr21","3A1","hsat2_A1_A2"
"221",0,446,"chr22","3A1","hsat2_A1_A2"
"222",0,446,"chr3","3A1","hsat2_A1_A2"
"223",0,446,"chr4","3A1","hsat2_A1_A2"
"224",0,446,"chr5","3A1","hsat2_A1_A2"
"225",0,446,"chr6","3A1","hsat2_A1_A2"
"226",0,446,"chr7","3A1","hsat2_A1_A2"
"227",0,446,"chr8","3A1","hsat2_A1_A2"
"228",0,446,"chr9","3A1","hsat2_A1_A2"
"229",0,446,"chrX","3A1","hsat2_A1_A2"
"230",0,446,"chrY","3A1","hsat2_A1_A2"
"231",0,756,"chr1","3A2","hsat2_A1_A2"
"232",0,756,"chr10","3A2","hsat2_A1_A2"
"233",0,756,"chr11","3A2","hsat2_A1_A2"
"234",0,756,"chr12","3A2","hsat2_A1_A2"
"235",0,756,"chr13","3A2","hsat2_A1_A2"
"236",0,756,"chr14","3A2","hsat2_A1_A2"
"237",0,756,"chr15","3A2","hsat2_A1_A2"
"238",0,756,"chr16","3A2","hsat2_A1_A2"
"239",0,756,"chr17","3A2","hsat2_A1_A2"
"240",0,756,"chr18","3A2","hsat2_A1_A2"
"241",0,756,"chr19","3A2","hsat2_A1_A2"
"242",0,756,"chr2","3A2","hsat2_A1_A2"
"243",0,756,"chr20","3A2","hsat2_A1_A2"
"244",0,756,"chr21","3A2","hsat2_A1_A2"
"245",0,756,"chr22","3A2","hsat2_A1_A2"
"246",0,756,"chr3","3A2","hsat2_A1_A2"
"247",0,756,"chr4","3A2","hsat2_A1_A2"
"248",0,756,"chr5","3A2","hsat2_A1_A2"
"249",0,756,"chr6","3A2","hsat2_A1_A2"
"250",0,756,"chr7","3A2","hsat2_A1_A2"
"251",0,756,"chr8","3A2","hsat2_A1_A2"
"252",0,756,"chr9","3A2","hsat2_A1_A2"
"253",0,756,"chrX","3A2","hsat2_A1_A2"
"254",0,756,"chrY","3A2","hsat2_A1_A2"
"255",0,6554,"chr1","3A3","hsat2_A1_A2"
"256",0,6554,"chr10","3A3","hsat2_A1_A2"
"257",0,6554,"chr11","3A3","hsat2_A1_A2"
"258",0,6554,"chr12","3A3","hsat2_A1_A2"
"259",0,6554,"chr13","3A3","hsat2_A1_A2"
"260",0,6554,"chr14","3A3","hsat2_A1_A2"
"261",0,6554,"chr15","3A3","hsat2_A1_A2"
"262",0,6554,"chr16","3A3","hsat2_A1_A2"
"263",0,6554,"chr17","3A3","hsat2_A1_A2"
"264",0,6554,"chr18","3A3","hsat2_A1_A2"
"265",0,6554,"chr19","3A3","hsat2_A1_A2"
"266",0,6554,"chr2","3A3","hsat2_A1_A2"
"267",0,6554,"chr20","3A3","hsat2_A1_A2"
"268",0,6554,"chr21","3A3","hsat2_A1_A2"
"269",0,6554,"chr22","3A3","hsat2_A1_A2"
"270",0,6554,"chr3","3A3","hsat2_A1_A2"
"271",0,6554,"chr4","3A3","hsat2_A1_A2"
"272",0,6554,"chr5","3A3","hsat2_A1_A2"
"273",0,6554,"chr6","3A3","hsat2_A1_A2"
"274",0,6554,"chr7","3A3","hsat2_A1_A2"
"275",0,6554,"chr8","3A3","hsat2_A1_A2"
"276",0,6554,"chr9","3A3","hsat2_A1_A2"
"277",0,6554,"chrX","3A3","hsat2_A1_A2"
"278",0,6554,"chrY","3A3","hsat2_A1_A2"
"279",0,65,"chr1","3A4","hsat2_A1_A2"
"280",0,65,"chr10","3A4","hsat2_A1_A2"
"281",0,65,"chr11","3A4","hsat2_A1_A2"
"282",0,65,"chr12","3A4","hsat2_A1_A2"
"283",0,65,"chr13","3A4","hsat2_A1_A2"
"284",0,65,"chr14","3A4","hsat2_A1_A2"
"285",0,65,"chr15","3A4","hsat2_A1_A2"
"286",0,65,"chr16","3A4","hsat2_A1_A2"
"287",0,65,"chr17","3A4","hsat2_A1_A2"
"288",0,65,"chr18","3A4","hsat2_A1_A2"
"289",0,65,"chr19","3A4","hsat2_A1_A2"
"290",0,65,"chr2","3A4","hsat2_A1_A2"
"291",0,65,"chr20","3A4","hsat2_A1_A2"
"292",0,65,"chr21","3A4","hsat2_A1_A2"
"293",0,65,"chr22","3A4","hsat2_A1_A2"
"294",0,65,"chr3","3A4","hsat2_A1_A2"
"295",0,65,"chr4","3A4","hsat2_A1_A2"
"296",0,65,"chr5","3A4","hsat2_A1_A2"
"297",0,65,"chr6","3A4","hsat2_A1_A2"
"298",0,65,"chr7","3A4","hsat2_A1_A2"
"299",0,65,"chr8","3A4","hsat2_A1_A2"
"300",0,65,"chr9","3A4","hsat2_A1_A2"
"301",0,65,"chrX","3A4","hsat2_A1_A2"
"302",0,65,"chrY","3A4","hsat2_A1_A2"
"303",0,956,"chr1","3A5","hsat2_A1_A2"
"304",0,956,"chr10","3A5","hsat2_A1_A2"
"305",0,956,"chr11","3A5","hsat2_A1_A2"
"306",0,956,"chr12","3A5","hsat2_A1_A2"
"307",0,956,"chr13","3A5","hsat2_A1_A2"
"308",0,956,"chr14","3A5","hsat2_A1_A2"
"309",0,956,"chr15","3A5","hsat2_A1_A2"
"310",0,956,"chr16","3A5","hsat2_A1_A2"
"311",0,956,"chr17","3A5","hsat2_A1_A2"
"312",0,956,"chr18","3A5","hsat2_A1_A2"
"313",0,956,"chr19","3A5","hsat2_A1_A2"
"314",0,956,"chr2","3A5","hsat2_A1_A2"
"315",0,956,"chr20","3A5","hsat2_A1_A2"
"316",0,956,"chr21","3A5","hsat2_A1_A2"
"317",0,956,"chr22","3A5","hsat2_A1_A2"
"318",0,956,"chr3","3A5","hsat2_A1_A2"
"319",0,956,"chr4","3A5","hsat2_A1_A2"
"320",0,956,"chr5","3A5","hsat2_A1_A2"
"321",0,956,"chr6","3A5","hsat2_A1_A2"
"322",0,956,"chr7","3A5","hsat2_A1_A2"
"323",0,956,"chr8","3A5","hsat2_A1_A2"
"324",0,956,"chr9","3A5","hsat2_A1_A2"
"325",0,956,"chrX","3A5","hsat2_A1_A2"
"326",0,956,"chrY","3A5","hsat2_A1_A2"
"327",0,2696,"chr1","3A6","hsat2_A1_A2"
"328",0,2696,"chr10","3A6","hsat2_A1_A2"
"329",0,2696,"chr11","3A6","hsat2_A1_A2"
"330",0,2696,"chr12","3A6","hsat2_A1_A2"
"331",0,2696,"chr13","3A6","hsat2_A1_A2"
"332",0,2696,"chr14","3A6","hsat2_A1_A2"
"333",0,2696,"chr15","3A6","hsat2_A1_A2"
"334",0,2696,"chr16","3A6","hsat2_A1_A2"
"335",0,2696,"chr17","3A6","hsat2_A1_A2"
"336",0,2696,"chr18","3A6","hsat2_A1_A2"
"337",0,2696,"chr19","3A6","hsat2_A1_A2"
"338",0,2696,"chr2","3A6","hsat2_A1_A2"
"339",0,2696,"chr20","3A6","hsat2_A1_A2"
"340",0,2696,"chr21","3A6","hsat2_A1_A2"
"341",0,2696,"chr22","3A6","hsat2_A1_A2"
"342",0,2696,"chr3","3A6","hsat2_A1_A2"
"343",0,2696,"chr4","3A6","hsat2_A1_A2"
"344",0,2696,"chr5","3A6","hsat2_A1_A2"
"345",0,2696,"chr6","3A6","hsat2_A1_A2"
"346",0,2696,"chr7","3A6","hsat2_A1_A2"
"347",0,2696,"chr8","3A6","hsat2_A1_A2"
"348",0,2696,"chr9","3A6","hsat2_A1_A2"
"349",0,2696,"chrX","3A6","hsat2_A1_A2"
"350",0,2696,"chrY","3A6","hsat2_A1_A2"
"351",0,2689,"chr1","3B1","hsat2_A1_A2"
"352",0,2689,"chr10","3B1","hsat2_A1_A2"
"353",0,2689,"chr11","3B1","hsat2_A1_A2"
"354",0,2689,"chr12","3B1","hsat2_A1_A2"
"355",0,2689,"chr13","3B1","hsat2_A1_A2"
"356",0,2689,"chr14","3B1","hsat2_A1_A2"
"357",0,2689,"chr15","3B1","hsat2_A1_A2"
"358",0,2689,"chr16","3B1","hsat2_A1_A2"
"359",0,2689,"chr17","3B1","hsat2_A1_A2"
"360",0,2689,"chr18","3B1","hsat2_A1_A2"
"361",0,2689,"chr19","3B1","hsat2_A1_A2"
"362",0,2689,"chr2","3B1","hsat2_A1_A2"
"363",0,2689,"chr20","3B1","hsat2_A1_A2"
"364",0,2689,"chr21","3B1","hsat2_A1_A2"
"365",0,2689,"chr22","3B1","hsat2_A1_A2"
"366",0,2689,"chr3","3B1","hsat2_A1_A2"
"367",0,2689,"chr4","3B1","hsat2_A1_A2"
"368",0,2689,"chr5","3B1","hsat2_A1_A2"
"369",0,2689,"chr6","3B1","hsat2_A1_A2"
"370",0,2689,"chr7","3B1","hsat2_A1_A2"
"371",0,2689,"chr8","3B1","hsat2_A1_A2"
"372",0,2689,"chr9","3B1","hsat2_A1_A2"
"373",0,2689,"chrX","3B1","hsat2_A1_A2"
"374",0,2689,"chrY","3B1","hsat2_A1_A2"
"375",0,3183,"chr1","3B2","hsat2_A1_A2"
"376",0,3181,"chr10","3B2","hsat2_A1_A2"
"377",1,2,"chr10","3B2","hsat2_A1_A2"
"378",0,3183,"chr11","3B2","hsat2_A1_A2"
"379",0,3183,"chr12","3B2","hsat2_A1_A2"
"380",0,3183,"chr13","3B2","hsat2_A1_A2"
"381",0,3183,"chr14","3B2","hsat2_A1_A2"
"382",0,3183,"chr15","3B2","hsat2_A1_A2"
"383",0,3183,"chr16","3B2","hsat2_A1_A2"
"384",0,3183,"chr17","3B2","hsat2_A1_A2"
"385",0,3183,"chr18","3B2","hsat2_A1_A2"
"386",0,3183,"chr19","3B2","hsat2_A1_A2"
"387",0,3183,"chr2","3B2","hsat2_A1_A2"
"388",0,3183,"chr20","3B2","hsat2_A1_A2"
"389",0,3183,"chr21","3B2","hsat2_A1_A2"
"390",0,3183,"chr22","3B2","hsat2_A1_A2"
"391",0,3183,"chr3","3B2","hsat2_A1_A2"
"392",0,3183,"chr4","3B2","hsat2_A1_A2"
"393",0,3183,"chr5","3B2","hsat2_A1_A2"
"394",0,3183,"chr6","3B2","hsat2_A1_A2"
"395",0,3183,"chr7","3B2","hsat2_A1_A2"
"396",0,3183,"chr8","3B2","hsat2_A1_A2"
"397",0,3183,"chr9","3B2","hsat2_A1_A2"
"398",0,3183,"chrX","3B2","hsat2_A1_A2"
"399",0,3183,"chrY","3B2","hsat2_A1_A2"
"400",0,532,"chr1","3B3","hsat2_A1_A2"
"401",0,532,"chr10","3B3","hsat2_A1_A2"
"402",0,532,"chr11","3B3","hsat2_A1_A2"
"403",0,532,"chr12","3B3","hsat2_A1_A2"
"404",0,532,"chr13","3B3","hsat2_A1_A2"
"405",0,532,"chr14","3B3","hsat2_A1_A2"
"406",0,532,"chr15","3B3","hsat2_A1_A2"
"407",0,532,"chr16","3B3","hsat2_A1_A2"
"408",0,532,"chr17","3B3","hsat2_A1_A2"
"409",0,532,"chr18","3B3","hsat2_A1_A2"
"410",0,532,"chr19","3B3","hsat2_A1_A2"
"411",0,532,"chr2","3B3","hsat2_A1_A2"
"412",0,532,"chr20","3B3","hsat2_A1_A2"
"413",0,532,"chr21","3B3","hsat2_A1_A2"
"414",0,532,"chr22","3B3","hsat2_A1_A2"
"415",0,532,"chr3","3B3","hsat2_A1_A2"
"416",0,532,"chr4","3B3","hsat2_A1_A2"
"417",0,532,"chr5","3B3","hsat2_A1_A2"
"418",0,532,"chr6","3B3","hsat2_A1_A2"
"419",0,532,"chr7","3B3","hsat2_A1_A2"
"420",0,532,"chr8","3B3","hsat2_A1_A2"
"421",0,532,"chr9","3B3","hsat2_A1_A2"
"422",0,532,"chrX","3B3","hsat2_A1_A2"
"423",0,532,"chrY","3B3","hsat2_A1_A2"
"424",0,1238,"chr1","3B4","hsat2_A1_A2"
"425",0,1238,"chr10","3B4","hsat2_A1_A2"
"426",0,1238,"chr11","3B4","hsat2_A1_A2"
"427",0,1238,"chr12","3B4","hsat2_A1_A2"
"428",0,1238,"chr13","3B4","hsat2_A1_A2"
"429",0,1238,"chr14","3B4","hsat2_A1_A2"
"430",0,1238,"chr15","3B4","hsat2_A1_A2"
"431",0,1238,"chr16","3B4","hsat2_A1_A2"
"432",0,1238,"chr17","3B4","hsat2_A1_A2"
"433",0,1238,"chr18","3B4","hsat2_A1_A2"
"434",0,1238,"chr19","3B4","hsat2_A1_A2"
"435",0,1238,"chr2","3B4","hsat2_A1_A2"
"436",0,1238,"chr20","3B4","hsat2_A1_A2"
"437",0,1238,"chr21","3B4","hsat2_A1_A2"
"438",0,1238,"chr22","3B4","hsat2_A1_A2"
"439",0,1238,"chr3","3B4","hsat2_A1_A2"
"440",0,1238,"chr4","3B4","hsat2_A1_A2"
"441",0,1238,"chr5","3B4","hsat2_A1_A2"
"442",0,1238,"chr6","3B4","hsat2_A1_A2"
"443",0,1238,"chr7","3B4","hsat2_A1_A2"
"444",0,1238,"chr8","3B4","hsat2_A1_A2"
"445",0,1238,"chr9","3B4","hsat2_A1_A2"
"446",0,1238,"chrX","3B4","hsat2_A1_A2"
"447",0,1238,"chrY","3B4","hsat2_A1_A2"
"448",0,945,"chr1","3B5","hsat2_A1_A2"
"449",0,945,"chr10","3B5","hsat2_A1_A2"
"450",0,945,"chr11","3B5","hsat2_A1_A2"
"451",0,945,"chr12","3B5","hsat2_A1_A2"
"452",0,945,"chr13","3B5","hsat2_A1_A2"
"453",0,945,"chr14","3B5","hsat2_A1_A2"
"454",0,945,"chr15","3B5","hsat2_A1_A2"
"455",0,945,"chr16","3B5","hsat2_A1_A2"
"456",0,945,"chr17","3B5","hsat2_A1_A2"
"457",0,945,"chr18","3B5","hsat2_A1_A2"
"458",0,945,"chr19","3B5","hsat2_A1_A2"
"459",0,945,"chr2","3B5","hsat2_A1_A2"
"460",0,945,"chr20","3B5","hsat2_A1_A2"
"461",0,945,"chr21","3B5","hsat2_A1_A2"
"462",0,945,"chr22","3B5","hsat2_A1_A2"
"463",0,945,"chr3","3B5","hsat2_A1_A2"
"464",0,945,"chr4","3B5","hsat2_A1_A2"
"465",0,945,"chr5","3B5","hsat2_A1_A2"
"466",0,945,"chr6","3B5","hsat2_A1_A2"
"467",0,945,"chr7","3B5","hsat2_A1_A2"
"468",0,945,"chr8","3B5","hsat2_A1_A2"
"469",0,945,"chr9","3B5","hsat2_A1_A2"
"470",0,945,"chrX","3B5","hsat2_A1_A2"
"471",0,945,"chrY","3B5","hsat2_A1_A2"
"472",0,178,"chr1","2A1","hsat2_A1_B"
"473",1,83,"chr1","2A1","hsat2_A1_B"
"474",2,21,"chr1","2A1","hsat2_A1_B"
"475",3,50,"chr1","2A1","hsat2_A1_B"
"476",4,21,"chr1","2A1","hsat2_A1_B"
"477",5,15,"chr1","2A1","hsat2_A1_B"
"478",6,47,"chr1","2A1","hsat2_A1_B"
"479",7,52,"chr1","2A1","hsat2_A1_B"
"480",8,35,"chr1","2A1","hsat2_A1_B"
"481",9,4,"chr1","2A1","hsat2_A1_B"
"482",10,31,"chr1","2A1","hsat2_A1_B"
"483",11,31,"chr1","2A1","hsat2_A1_B"
"484",12,78,"chr1","2A1","hsat2_A1_B"
"485",13,39,"chr1","2A1","hsat2_A1_B"
"486",14,39,"chr1","2A1","hsat2_A1_B"
"487",15,11,"chr1","2A1","hsat2_A1_B"
"488",17,6,"chr1","2A1","hsat2_A1_B"
"489",18,20,"chr1","2A1","hsat2_A1_B"
"490",19,6,"chr1","2A1","hsat2_A1_B"
"491",20,16,"chr1","2A1","hsat2_A1_B"
"492",21,18,"chr1","2A1","hsat2_A1_B"
"493",22,12,"chr1","2A1","hsat2_A1_B"
"494",24,27,"chr1","2A1","hsat2_A1_B"
