"","seqnames","strand","n","type","group","mb"
"119","chr11","+",4013987,"fam","Satellite",4.013987
"120","chr11","-",614404,"fam","Satellite",0.614404
"121","chr12","+",3245356,"fam","Satellite",3.245356
"122","chr12","-",482617,"fam","Satellite",0.482617
"123","chr13","+",830973,"fam","Satellite",0.830973
"124","chr13","-",9260919,"fam","Satellite",9.260919
"125","chr14","+",1847142,"fam","Satellite",1.847142
"126","chr14","-",4105452,"fam","Satellite",4.105452
"127","chr15","+",6523290,"fam","Satellite",6.52329
"128","chr15","-",2717068,"fam","Satellite",2.717068
"129","chr16","+",14934983,"fam","Satellite",14.934983
"130","chr16","-",766025,"fam","Satellite",0.766025
"131","chr17","+",4567080,"fam","Satellite",4.56708
"132","chr17","-",368284,"fam","Satellite",0.368284
"133","chr18","+",5607273,"fam","Satellite",5.607273
"134","chr18","-",32186,"fam","Satellite",0.032186
"135","chr19","+",1962598,"fam","Satellite",1.962598
"136","chr19","-",4819305,"fam","Satellite",4.819305
"137","chr20","+",3774597,"fam","Satellite",3.774597
"138","chr20","-",738844,"fam","Satellite",0.738844
"139","chr21","+",1308868,"fam","Satellite",1.308868
"140","chr21","-",2621955,"fam","Satellite",2.621955
"141","chr22","+",1880867,"fam","Satellite",1.880867
"142","chr22","-",7273535,"fam","Satellite",7.273535
"143","chrX","+",1257100,"fam","Satellite",1.2571
"144","chrX","-",2557879,"fam","Satellite",2.557879
"145","chrY","+",3288017,"fam","Satellite",3.288017
"146","chrY","-",12378873,"fam","Satellite",12.378873
"147","chr1","+",18529552,"fam","LTR",18.529552
"148","chr1","-",18366960,"fam","LTR",18.36696
"149","chr2","+",19132322,"fam","LTR",19.132322
"150","chr2","-",19439688,"fam","LTR",19.439688
"151","chr3","+",16243112,"fam","LTR",16.243112
"152","chr3","-",16526106,"fam","LTR",16.526106
"153","chr4","+",18942657,"fam","LTR",18.942657
"154","chr4","-",18275517,"fam","LTR",18.275517
"155","chr5","+",15328081,"fam","LTR",15.328081
"156","chr5","-",15627893,"fam","LTR",15.627893
"157","chr6","+",14317168,"fam","LTR",14.317168
"158","chr6","-",13919852,"fam","LTR",13.919852
"159","chr7","+",12666349,"fam","LTR",12.666349
"160","chr7","-",12751804,"fam","LTR",12.751804
"161","chr8","+",12773683,"fam","LTR",12.773683
"162","chr8","-",12751463,"fam","LTR",12.751463
"163","chr9","+",9461141,"fam","LTR",9.461141
"164","chr9","-",9515666,"fam","LTR",9.515666
"165","chr10","+",9837274,"fam","LTR",9.837274
"166","chr10","-",9930364,"fam","LTR",9.930364
"167","chr11","+",10762707,"fam","LTR",10.762707
"168","chr11","-",10476911,"fam","LTR",10.476911
"169","chr12","+",11023174,"fam","LTR",11.023174
"170","chr12","-",11135400,"fam","LTR",11.1354
"171","chr13","+",9370455,"fam","LTR",9.370455
"172","chr13","-",10004021,"fam","LTR",10.004021
"173","chr14","+",8325587,"fam","LTR",8.325587
"174","chr14","-",8615671,"fam","LTR",8.615671
"175","chr15","+",5960704,"fam","LTR",5.960704
"176","chr15","-",6390794,"fam","LTR",6.390794
"177","chr16","+",6016009,"fam","LTR",6.016009
"178","chr16","-",6270716,"fam","LTR",6.270716
"179","chr17","+",5027773,"fam","LTR",5.027773
"180","chr17","-",4969142,"fam","LTR",4.969142
"181","chr18","+",6223878,"fam","LTR",6.223878
"182","chr18","-",6209210,"fam","LTR",6.20921
"183","chr19","+",5176173,"fam","LTR",5.176173
"184","chr19","-",5326439,"fam","LTR",5.326439
"185","chr20","+",4583662,"fam","LTR",4.583662
"186","chr20","-",5126579,"fam","LTR",5.126579
"187","chr21","+",4122658,"fam","LTR",4.122658
"188","chr21","-",4446323,"fam","LTR",4.446323
"189","chr22","+",2980623,"fam","LTR",2.980623
"190","chr22","-",3208692,"fam","LTR",3.208692
"191","chrX","+",14801965,"fam","LTR",14.801965
"192","chrX","-",15458672,"fam","LTR",15.458672
"193","chrY","+",3705943,"fam","LTR",3.705943
"194","chrY","-",4089226,"fam","LTR",4.089226
"195","chr1","+",23120434,"fam","SINE",23.120434
"196","chr1","-",22937328,"fam","SINE",22.937328
"197","chr2","+",18482840,"fam","SINE",18.48284
"198","chr2","-",18207523,"fam","SINE",18.207523
"199","chr3","+",15449099,"fam","SINE",15.449099
"200","chr3","-",15440790,"fam","SINE",15.44079
"201","chr4","+",12404308,"fam","SINE",12.404308
"202","chr4","-",12412218,"fam","SINE",12.412218
"203","chr5","+",13040626,"fam","SINE",13.040626
"204","chr5","-",13097510,"fam","SINE",13.09751
"205","chr6","+",12472548,"fam","SINE",12.472548
"206","chr6","-",12379816,"fam","SINE",12.379816
"207","chr7","+",13620791,"fam","SINE",13.620791
"208","chr7","-",13719608,"fam","SINE",13.719608
"209","chr8","+",11400292,"fam","SINE",11.400292
"210","chr8","-",11560043,"fam","SINE",11.560043
"211","chr9","+",10777996,"fam","SINE",10.777996
"212","chr9","-",10799739,"fam","SINE",10.799739
"213","chr10","+",11791857,"fam","SINE",11.791857
"214","chr10","-",11715834,"fam","SINE",11.715834
"215","chr11","+",11974887,"fam","SINE",11.974887
"216","chr11","-",11776646,"fam","SINE",11.776646
"217","chr12","+",12590787,"fam","SINE",12.590787
"218","chr12","-",12542496,"fam","SINE",12.542496
"219","chr13","+",6615615,"fam","SINE",6.615615
"220","chr13","-",6895925,"fam","SINE",6.895925
"221","chr14","+",8086869,"fam","SINE",8.086869
"222","chr14","-",8189350,"fam","SINE",8.18935
"223","chr15","+",8448808,"fam","SINE",8.448808
"224","chr15","-",8516937,"fam","SINE",8.516937
"225","chr16","+",10691141,"fam","SINE",10.691141
"226","chr16","-",10501904,"fam","SINE",10.501904
"227","chr17","+",10869103,"fam","SINE",10.869103
"228","chr17","-",10758523,"fam","SINE",10.758523
"229","chr18","+",5247980,"fam","SINE",5.24798
"230","chr18","-",5269928,"fam","SINE",5.269928
"231","chr19","+",9609226,"fam","SINE",9.609226
"232","chr19","-",9732439,"fam","SINE",9.732439
"233","chr20","+",6563128,"fam","SINE",6.563128
"234","chr20","-",6543158,"fam","SINE",6.543158
"235","chr21","+",2831763,"fam","SINE",2.831763
"236","chr21","-",2964157,"fam","SINE",2.964157
"237","chr22","+",5425662,"fam","SINE",5.425662
"238","chr22","-",5412140,"fam","SINE",5.41214
"239","chrX","+",10335645,"fam","SINE",10.335645
"240","chrX","-",10214649,"fam","SINE",10.214649
"241","chrY","+",1645345,"fam","SINE",1.645345
"242","chrY","-",3689280,"fam","SINE",3.68928
"243","chr1","+",11055047,"fam","DNA",11.055047
"244","chr1","-",11262610,"fam","DNA",11.26261
"245","chr2","+",12825667,"fam","DNA",12.825667
"246","chr2","-",12294723,"fam","DNA",12.294723
"247","chr3","+",10472491,"fam","DNA",10.472491
"248","chr3","-",10462870,"fam","DNA",10.46287
"249","chr4","+",9352743,"fam","DNA",9.352743
"250","chr4","-",9378154,"fam","DNA",9.378154
"251","chr5","+",8980390,"fam","DNA",8.98039
"252","chr5","-",9016337,"fam","DNA",9.016337
"253","chr6","+",9059622,"fam","DNA",9.059622
"254","chr6","-",8767494,"fam","DNA",8.767494
"255","chr7","+",7507494,"fam","DNA",7.507494
"256","chr7","-",7684122,"fam","DNA",7.684122
"257","chr8","+",7047775,"fam","DNA",7.047775
"258","chr8","-",7017320,"fam","DNA",7.01732
"259","chr9","+",5983195,"fam","DNA",5.983195
"260","chr9","-",5982048,"fam","DNA",5.982048
"261","chr10","+",6642079,"fam","DNA",6.642079
"262","chr10","-",6418629,"fam","DNA",6.418629
"263","chr11","+",6055240,"fam","DNA",6.05524
"264","chr11","-",6231705,"fam","DNA",6.231705
"265","chr12","+",6860202,"fam","DNA",6.860202
"266","chr12","-",6866364,"fam","DNA",6.866364
"267","chr13","+",5143488,"fam","DNA",5.143488
"268","chr13","-",4995446,"fam","DNA",4.995446
"269","chr14","+",4497838,"fam","DNA",4.497838
"270","chr14","-",4591004,"fam","DNA",4.591004
"271","chr15","+",4531676,"fam","DNA",4.531676
"272","chr15","-",4578241,"fam","DNA",4.578241
"273","chr16","+",3787276,"fam","DNA",3.787276
"274","chr16","-",3933769,"fam","DNA",3.933769
"275","chr17","+",3723607,"fam","DNA",3.723607
"276","chr17","-",3726205,"fam","DNA",3.726205
"277","chr18","+",3862774,"fam","DNA",3.862774
"278","chr18","-",3653947,"fam","DNA",3.653947
"279","chr19","+",2037723,"fam","DNA",2.037723
"280","chr19","-",1998157,"fam","DNA",1.998157
"281","chr20","+",3536084,"fam","DNA",3.536084
"282","chr20","-",3552358,"fam","DNA",3.552358
"283","chr21","+",1807464,"fam","DNA",1.807464
"284","chr21","-",1826834,"fam","DNA",1.826834
"285","chr22","+",1599340,"fam","DNA",1.59934
"286","chr22","-",1611686,"fam","DNA",1.611686
"287","chrX","+",6841016,"fam","DNA",6.841016
"288","chrX","-",6840910,"fam","DNA",6.84091
"289","chrY","+",604387,"fam","DNA",0.604387
"290","chrY","-",670639,"fam","DNA",0.670639
"291","chr1","+",447579,"fam","Retroposon",0.447579
"292","chr1","-",382971,"fam","Retroposon",0.382971
"293","chr2","+",290027,"fam","Retroposon",0.290027
"294","chr2","-",367973,"fam","Retroposon",0.367973
"295","chr3","+",277623,"fam","Retroposon",0.277623
"296","chr3","-",295094,"fam","Retroposon",0.295094
"297","chr4","+",259601,"fam","Retroposon",0.259601
"298","chr4","-",202254,"fam","Retroposon",0.202254
"299","chr5","+",227316,"fam","Retroposon",0.227316
"300","chr5","-",242685,"fam","Retroposon",0.242685
"301","chr6","+",237761,"fam","Retroposon",0.237761
"302","chr6","-",237174,"fam","Retroposon",0.237174
"303","chr7","+",255190,"fam","Retroposon",0.25519
"304","chr7","-",246581,"fam","Retroposon",0.246581
"305","chr8","+",150879,"fam","Retroposon",0.150879
"306","chr8","-",217459,"fam","Retroposon",0.217459
"307","chr9","+",183709,"fam","Retroposon",0.183709
"308","chr9","-",191793,"fam","Retroposon",0.191793
"309","chr10","+",204322,"fam","Retroposon",0.204322
"310","chr10","-",217439,"fam","Retroposon",0.217439
"311","chr11","+",220367,"fam","Retroposon",0.220367
"312","chr11","-",189678,"fam","Retroposon",0.189678
"313","chr12","+",206238,"fam","Retroposon",0.206238
"314","chr12","-",217757,"fam","Retroposon",0.217757
"315","chr13","+",237047,"fam","Retroposon",0.237047
"316","chr13","-",117912,"fam","Retroposon",0.117912
"317","chr14","+",202165,"fam","Retroposon",0.202165
"318","chr14","-",168822,"fam","Retroposon",0.168822
"319","chr15","+",222847,"fam","Retroposon",0.222847
"320","chr15","-",146590,"fam","Retroposon",0.14659
"321","chr16","+",141867,"fam","Retroposon",0.141867
"322","chr16","-",169351,"fam","Retroposon",0.169351
"323","chr17","+",229754,"fam","Retroposon",0.229754
"324","chr17","-",183756,"fam","Retroposon",0.183756
"325","chr18","+",80635,"fam","Retroposon",0.080635
"326","chr18","-",87625,"fam","Retroposon",0.087625
"327","chr19","+",212933,"fam","Retroposon",0.212933
"328","chr19","-",211443,"fam","Retroposon",0.211443
"329","chr20","+",133591,"fam","Retroposon",0.133591
"330","chr20","-",111407,"fam","Retroposon",0.111407
"331","chr21","+",142781,"fam","Retroposon",0.142781
"332","chr21","-",51957,"fam","Retroposon",0.051957
"333","chr22","+",130567,"fam","Retroposon",0.130567
"334","chr22","-",99892,"fam","Retroposon",0.099892
"335","chrX","+",195645,"fam","Retroposon",0.195645
"336","chrX","-",199693,"fam","Retroposon",0.199693
"337","chrY","+",99067,"fam","Retroposon",0.099067
"338","chrY","-",12759,"fam","Retroposon",0.012759
"339","chr1","+",42512,"fam","snRNA",0.042512
"340","chr1","-",44078,"fam","snRNA",0.044078
"341","chr2","+",31077,"fam","snRNA",0.031077
"342","chr2","-",32639,"fam","snRNA",0.032639
"343","chr3","+",31731,"fam","snRNA",0.031731
"344","chr3","-",29608,"fam","snRNA",0.029608
"345","chr4","+",26123,"fam","snRNA",0.026123
"346","chr4","-",26615,"fam","snRNA",0.026615
"347","chr5","+",22073,"fam","snRNA",0.022073
"348","chr5","-",24482,"fam","snRNA",0.024482
"349","chr6","+",28462,"fam","snRNA",0.028462
"350","chr6","-",25785,"fam","snRNA",0.025785
"351","chr7","+",19444,"fam","snRNA",0.019444
"352","chr7","-",19341,"fam","snRNA",0.019341
"353","chr8","+",22418,"fam","snRNA",0.022418
"354","chr8","-",18644,"fam","snRNA",0.018644
"355","chr9","+",18550,"fam","snRNA",0.01855
"356","chr9","-",15120,"fam","snRNA",0.01512
"357","chr10","+",21186,"fam","snRNA",0.021186
"358","chr10","-",19328,"fam","snRNA",0.019328
"359","chr11","+",19212,"fam","snRNA",0.019212
"360","chr11","-",14735,"fam","snRNA",0.014735
"361","chr12","+",19310,"fam","snRNA",0.01931
"362","chr12","-",21127,"fam","snRNA",0.021127
"363","chr13","+",10844,"fam","snRNA",0.010844
"364","chr13","-",12437,"fam","snRNA",0.012437
"365","chr14","+",15926,"fam","snRNA",0.015926
"366","chr14","-",13151,"fam","snRNA",0.013151
"367","chr15","+",14468,"fam","snRNA",0.014468
"368","chr15","-",12986,"fam","snRNA",0.012986
"369","chr16","+",11844,"fam","snRNA",0.011844
"370","chr16","-",14007,"fam","snRNA",0.014007
"371","chr17","+",16685,"fam","snRNA",0.016685
"372","chr17","-",12966,"fam","snRNA",0.012966
"373","chr18","+",9322,"fam","snRNA",0.009322
"374","chr18","-",11615,"fam","snRNA",0.011615
"375","chr19","+",4234,"fam","snRNA",0.004234
"376","chr19","-",9103,"fam","snRNA",0.009103
"377","chr20","+",9709,"fam","snRNA",0.009709
"378","chr20","-",8319,"fam","snRNA",0.008319
"379","chr21","+",5717,"fam","snRNA",0.005717
"380","chr21","-",4191,"fam","snRNA",0.004191
"381","chr22","+",5739,"fam","snRNA",0.005739
"382","chr22","-",6752,"fam","snRNA",0.006752
"383","chrX","+",18688,"fam","snRNA",0.018688
"384","chrX","-",21173,"fam","snRNA",0.021173
"385","chrY","+",2476,"fam","snRNA",0.002476
"386","chrY","-",2026,"fam","snRNA",0.002026
"387","chr1","+",25742,"fam","srpRNA",0.025742
"388","chr1","-",33554,"fam","srpRNA",0.033554
"389","chr2","+",24708,"fam","srpRNA",0.024708
"390","chr2","-",22194,"fam","srpRNA",0.022194
"391","chr3","+",19687,"fam","srpRNA",0.019687
"392","chr3","-",16820,"fam","srpRNA",0.01682
"393","chr4","+",17527,"fam","srpRNA",0.017527
"394","chr4","-",14543,"fam","srpRNA",0.014543
"395","chr5","+",14487,"fam","srpRNA",0.014487
"396","chr5","-",14938,"fam","srpRNA",0.014938
"397","chr6","+",16797,"fam","srpRNA",0.016797
"398","chr6","-",13501,"fam","srpRNA",0.013501
"399","chr7","+",15401,"fam","srpRNA",0.015401
"400","chr7","-",15925,"fam","srpRNA",0.015925
"401","chr8","+",11457,"fam","srpRNA",0.011457
"402","chr8","-",13489,"fam","srpRNA",0.013489
"403","chr9","+",16333,"fam","srpRNA",0.016333
"404","chr9","-",12125,"fam","srpRNA",0.012125
"405","chr10","+",14242,"fam","srpRNA",0.014242
"406","chr10","-",14110,"fam","srpRNA",0.01411
"407","chr11","+",13832,"fam","srpRNA",0.013832
"408","chr11","-",10539,"fam","srpRNA",0.010539
"409","chr12","+",13076,"fam","srpRNA",0.013076
"410","chr12","-",14202,"fam","srpRNA",0.014202
"411","chr13","+",10623,"fam","srpRNA",0.010623
"412","chr13","-",12237,"fam","srpRNA",0.012237
"413","chr14","+",10068,"fam","srpRNA",0.010068
"414","chr14","-",13166,"fam","srpRNA",0.013166
"415","chr15","+",16092,"fam","srpRNA",0.016092
"416","chr15","-",14579,"fam","srpRNA",0.014579
"417","chr16","+",7509,"fam","srpRNA",0.007509
"418","chr16","-",10780,"fam","srpRNA",0.01078
"419","chr17","+",14480,"fam","srpRNA",0.01448
"420","chr17","-",15132,"fam","srpRNA",0.015132
"421","chr18","+",7463,"fam","srpRNA",0.007463
"422","chr18","-",5972,"fam","srpRNA",0.005972
"423","chr19","+",11548,"fam","srpRNA",0.011548
"424","chr19","-",11612,"fam","srpRNA",0.011612
"425","chr20","+",8724,"fam","srpRNA",0.008724
"426","chr20","-",7331,"fam","srpRNA",0.007331
"427","chr21","+",2464,"fam","srpRNA",0.002464
"428","chr21","-",6365,"fam","srpRNA",0.006365
"429","chr22","+",7189,"fam","srpRNA",0.007189
"430","chr22","-",8270,"fam","srpRNA",0.00827
"431","chrX","+",11688,"fam","srpRNA",0.011688
"432","chrX","-",14527,"fam","srpRNA",0.014527
"433","chrY","+",2574,"fam","srpRNA",0.002574
"434","chrY","-",1291,"fam","srpRNA",0.001291
"435","chr1","+",74894,"fam","rRNA",0.074894
"436","chr1","-",113378,"fam","rRNA",0.113378
"437","chr2","+",58679,"fam","rRNA",0.058679
"438","chr2","-",72369,"fam","rRNA",0.072369
"439","chr3","+",76420,"fam","rRNA",0.07642
"440","chr3","-",55217,"fam","rRNA",0.055217
"441","chr4","+",54708,"fam","rRNA",0.054708
"442","chr4","-",36192,"fam","rRNA",0.036192
"443","chr5","+",56518,"fam","rRNA",0.056518
"444","chr5","-",32450,"fam","rRNA",0.03245
"445","chr6","+",81920,"fam","rRNA",0.08192
"446","chr6","-",69379,"fam","rRNA",0.069379
"447","chr7","+",45632,"fam","rRNA",0.045632
"448","chr7","-",59421,"fam","rRNA",0.059421
"449","chr8","+",34530,"fam","rRNA",0.03453
"450","chr8","-",57407,"fam","rRNA",0.057407
"451","chr9","+",61745,"fam","rRNA",0.061745
"452","chr9","-",31774,"fam","rRNA",0.031774
"453","chr10","+",39285,"fam","rRNA",0.039285
"454","chr10","-",57929,"fam","rRNA",0.057929
"455","chr11","+",47412,"fam","rRNA",0.047412
"456","chr11","-",30907,"fam","rRNA",0.030907
"457","chr12","+",50266,"fam","rRNA",0.050266
"458","chr12","-",65387,"fam","rRNA",0.065387
"459","chr13","+",561743,"fam","rRNA",0.561743
"460","chr13","-",21579,"fam","rRNA",0.021579
"461","chr14","+",149291,"fam","rRNA",0.149291
"462","chr14","-",32759,"fam","rRNA",0.032759
"463","chr15","+",377322,"fam","rRNA",0.377322
"464","chr15","-",33247,"fam","rRNA",0.033247
"465","chr16","+",46462,"fam","rRNA",0.046462
"466","chr16","-",25247,"fam","rRNA",0.025247
"467","chr17","+",34291,"fam","rRNA",0.034291
"468","chr17","-",37242,"fam","rRNA",0.037242
"469","chr18","+",16588,"fam","rRNA",0.016588
"470","chr18","-",31621,"fam","rRNA",0.031621
"471","chr19","+",32450,"fam","rRNA",0.03245
"472","chr19","-",32683,"fam","rRNA",0.032683
"473","chr20","+",6327,"fam","rRNA",0.006327
"474","chr20","-",20622,"fam","rRNA",0.020622
"475","chr21","+",414825,"fam","rRNA",0.414825
"476","chr21","-",17411,"fam","rRNA",0.017411
"477","chr22","+",175181,"fam","rRNA",0.175181
"478","chr22","-",7883,"fam","rRNA",0.007883
"479","chrX","+",61023,"fam","rRNA",0.061023
"480","chrX","-",20909,"fam","rRNA",0.020909
"481","chrY","+",17111,"fam","rRNA",0.017111
"482","chrY","-",7445,"fam","rRNA",0.007445
"483","chrM","+",3298,"fam","rRNA",0.003298
"484","chr1","+",9758,"fam","scRNA",0.009758
"485","chr1","-",12588,"fam","scRNA",0.012588
"486","chr2","+",8072,"fam","scRNA",0.008072
"487","chr2","-",9593,"fam","scRNA",0.009593
"488","chr3","+",7481,"fam","scRNA",0.007481
"489","chr3","-",5168,"fam","scRNA",0.005168
"490","chr4","+",5476,"fam","scRNA",0.005476
"491","chr4","-",7216,"fam","scRNA",0.007216
"492","chr5","+",7122,"fam","scRNA",0.007122
"493","chr5","-",6085,"fam","scRNA",0.006085
"494","chr6","+",6265,"fam","scRNA",0.006265
"495","chr6","-",4363,"fam","scRNA",0.004363
"496","chr7","+",6974,"fam","scRNA",0.006974
"497","chr7","-",8096,"fam","scRNA",0.008096
"498","chr8","+",2340,"fam","scRNA",0.00234
"499","chr8","-",3599,"fam","scRNA",0.003599
"500","chr9","+",6051,"fam","scRNA",0.006051
"501","chr9","-",3654,"fam","scRNA",0.003654
"502","chr10","+",5140,"fam","scRNA",0.00514
"503","chr10","-",4913,"fam","scRNA",0.004913
"504","chr11","+",5697,"fam","scRNA",0.005697
"505","chr11","-",7269,"fam","scRNA",0.007269
"506","chr12","+",5488,"fam","scRNA",0.005488
"507","chr12","-",6696,"fam","scRNA",0.006696
"508","chr13","+",2637,"fam","scRNA",0.002637
"509","chr13","-",3983,"fam","scRNA",0.003983
"510","chr14","+",5296,"fam","scRNA",0.005296
"511","chr14","-",5080,"fam","scRNA",0.00508
"512","chr15","+",3286,"fam","scRNA",0.003286
"513","chr15","-",3237,"fam","scRNA",0.003237
"514","chr16","+",3596,"fam","scRNA",0.003596
"515","chr16","-",4247,"fam","scRNA",0.004247
"516","chr17","+",6190,"fam","scRNA",0.00619
"517","chr17","-",5377,"fam","scRNA",0.005377
"518","chr18","+",2622,"fam","scRNA",0.002622
"519","chr18","-",1288,"fam","scRNA",0.001288
"520","chr19","+",3384,"fam","scRNA",0.003384
"521","chr19","-",4052,"fam","scRNA",0.004052
"522","chr20","+",2174,"fam","scRNA",0.002174
"523","chr20","-",3319,"fam","scRNA",0.003319
"524","chr21","+",720,"fam","scRNA",0.00072
"525","chr21","-",1248,"fam","scRNA",0.001248
"526","chr22","+",2271,"fam","scRNA",0.002271
